Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      460     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag)
  0.00      0.00     0.00      460     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct_aux<char*>(char*, char*, std::__false_type)
  0.00      0.00     0.00      460     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<char*, void>(char*, char*, std::allocator<char> const&)
  0.00      0.00     0.00      452     0.00     0.00  Halide::Buffer<void>::Buffer()
  0.00      0.00     0.00      452     0.00     0.00  Halide::Buffer<void>::Buffer<void>(Halide::Buffer<void>&&)
  0.00      0.00     0.00      452     0.00     0.00  Halide::Internal::ReductionDomain::ReductionDomain()
  0.00      0.00     0.00      452     0.00     0.00  Halide::Internal::ReductionDomain::~ReductionDomain()
  0.00      0.00     0.00      452     0.00     0.00  Halide::Internal::Parameter::Parameter()
  0.00      0.00     0.00      452     0.00     0.00  Halide::Internal::Parameter::~Parameter()
  0.00      0.00     0.00      430     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > __gnu_cxx::__to_xstring<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char>(int (*)(char*, unsigned long, char const*, __va_list_tag*), unsigned long, char const*, ...)
  0.00      0.00     0.00      399     0.00     0.00  Halide::Internal::IntrusivePtr<Halide::Internal::FunctionGroup>::decref(Halide::Internal::FunctionGroup*)
  0.00      0.00     0.00      390     0.00     0.00  Halide::Internal::IntrusivePtr<Halide::Internal::FunctionGroup>::~IntrusivePtr()
  0.00      0.00     0.00      130     0.00     0.00  Halide::Internal::FunctionPtr::~FunctionPtr()
  0.00      0.00     0.00       59     0.00     0.00  std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>::type&& std::move<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.00     0.00       58     0.00     0.00  __gnu_cxx::new_allocator<Halide::ArgumentEstimates::MinAndExtent>::~new_allocator()
  0.00      0.00     0.00       36     0.00     0.00  void std::_Destroy_aux<false>::__destroy<Halide::ArgumentEstimates::MinAndExtent*>(Halide::ArgumentEstimates::MinAndExtent*, Halide::ArgumentEstimates::MinAndExtent*)
  0.00      0.00     0.00       36     0.00     0.00  void std::_Destroy<Halide::ArgumentEstimates::MinAndExtent*>(Halide::ArgumentEstimates::MinAndExtent*, Halide::ArgumentEstimates::MinAndExtent*)
  0.00      0.00     0.00       34     0.00     0.00  std::allocator<Halide::ArgumentEstimates::MinAndExtent>::~allocator()
  0.00      0.00     0.00       34     0.00     0.00  std::_Vector_base<Halide::ArgumentEstimates::MinAndExtent, std::allocator<Halide::ArgumentEstimates::MinAndExtent> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00       34     0.00     0.00  std::_Vector_base<Halide::ArgumentEstimates::MinAndExtent, std::allocator<Halide::ArgumentEstimates::MinAndExtent> >::_M_deallocate(Halide::ArgumentEstimates::MinAndExtent*, unsigned long)
  0.00      0.00     0.00       34     0.00     0.00  std::_Vector_base<Halide::ArgumentEstimates::MinAndExtent, std::allocator<Halide::ArgumentEstimates::MinAndExtent> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       34     0.00     0.00  std::_Vector_base<Halide::ArgumentEstimates::MinAndExtent, std::allocator<Halide::ArgumentEstimates::MinAndExtent> >::~_Vector_base()
  0.00      0.00     0.00       34     0.00     0.00  void std::_Destroy<Halide::ArgumentEstimates::MinAndExtent*, Halide::ArgumentEstimates::MinAndExtent>(Halide::ArgumentEstimates::MinAndExtent*, Halide::ArgumentEstimates::MinAndExtent*, std::allocator<Halide::ArgumentEstimates::MinAndExtent>&)
  0.00      0.00     0.00       32     0.00     0.00  std::vector<Halide::ArgumentEstimates::MinAndExtent, std::allocator<Halide::ArgumentEstimates::MinAndExtent> >::~vector()
  0.00      0.00     0.00       26     0.00     0.00  Halide::ArgumentEstimates::~ArgumentEstimates()
  0.00      0.00     0.00       22     0.00     0.00  Halide::ArgumentEstimates::MinAndExtent::~MinAndExtent()
  0.00      0.00     0.00       22     0.00     0.00  Halide::ArgumentEstimates::MinAndExtent* std::__addressof<Halide::ArgumentEstimates::MinAndExtent>(Halide::ArgumentEstimates::MinAndExtent&)
  0.00      0.00     0.00       22     0.00     0.00  void std::_Destroy<Halide::ArgumentEstimates::MinAndExtent>(Halide::ArgumentEstimates::MinAndExtent*)
  0.00      0.00     0.00       14     0.00     0.00  Halide::Internal::IntrusivePtr<Halide::Internal::DefinitionContents>::decref(Halide::Internal::DefinitionContents*)
  0.00      0.00     0.00       14     0.00     0.00  std::_Base_bitset<1ul>::_Base_bitset()
  0.00      0.00     0.00       12     0.00     0.00  Halide::Internal::IntrusivePtr<Halide::Internal::DefinitionContents>::~IntrusivePtr()
  0.00      0.00     0.00       12     0.00     0.00  std::bitset<60ul>::bitset()
  0.00      0.00     0.00       11     0.00     0.00  __gnu_cxx::new_allocator<Halide::ArgumentEstimates::MinAndExtent>::deallocate(Halide::ArgumentEstimates::MinAndExtent*, unsigned long)
  0.00      0.00     0.00       11     0.00     0.00  __gnu_cxx::new_allocator<Halide::Argument>::~new_allocator()
  0.00      0.00     0.00       11     0.00     0.00  std::allocator_traits<std::allocator<Halide::ArgumentEstimates::MinAndExtent> >::deallocate(std::allocator<Halide::ArgumentEstimates::MinAndExtent>&, Halide::ArgumentEstimates::MinAndExtent*, unsigned long)
  0.00      0.00     0.00       10     0.00     0.00  Halide::Var::~Var()
  0.00      0.00     0.00       10     0.00     0.00  void std::_Destroy_aux<false>::__destroy<Halide::Argument*>(Halide::Argument*, Halide::Argument*)
  0.00      0.00     0.00       10     0.00     0.00  Halide::Var* std::__addressof<Halide::Var>(Halide::Var&)
  0.00      0.00     0.00       10     0.00     0.00  void std::_Destroy<Halide::Argument*>(Halide::Argument*, Halide::Argument*)
  0.00      0.00     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<Halide::Buffer<void> >::~new_allocator()
  0.00      0.00     0.00        8     0.00     0.00  void std::_Destroy_aux<false>::__destroy<Halide::Buffer<void>*>(Halide::Buffer<void>*, Halide::Buffer<void>*)
  0.00      0.00     0.00        8     0.00     0.00  void std::_Destroy<Halide::Buffer<void>*>(Halide::Buffer<void>*, Halide::Buffer<void>*)
  0.00      0.00     0.00        7     0.00     0.00  Halide::Internal::IntrusivePtr<Halide::PipelineContents>::decref(Halide::PipelineContents*)
  0.00      0.00     0.00        7     0.00     0.00  Halide::Internal::IntrusivePtr<Halide::PipelineContents>::~IntrusivePtr()
  0.00      0.00     0.00        7     0.00     0.00  __gnu_cxx::new_allocator<Halide::Var>::~new_allocator()
  0.00      0.00     0.00        7     0.00     0.00  std::allocator<Halide::Buffer<void> >::~allocator()
  0.00      0.00     0.00        7     0.00     0.00  std::allocator<Halide::Argument>::~allocator()
  0.00      0.00     0.00        7     0.00     0.00  std::_Vector_base<Halide::Buffer<void>, std::allocator<Halide::Buffer<void> > >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00        7     0.00     0.00  std::_Vector_base<Halide::Buffer<void>, std::allocator<Halide::Buffer<void> > >::_M_deallocate(Halide::Buffer<void>*, unsigned long)
  0.00      0.00     0.00        7     0.00     0.00  std::_Vector_base<Halide::Buffer<void>, std::allocator<Halide::Buffer<void> > >::_M_get_Tp_allocator()
  0.00      0.00     0.00        7     0.00     0.00  std::_Vector_base<Halide::Buffer<void>, std::allocator<Halide::Buffer<void> > >::~_Vector_base()
  0.00      0.00     0.00        7     0.00     0.00  std::_Vector_base<Halide::Argument, std::allocator<Halide::Argument> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00        7     0.00     0.00  std::_Vector_base<Halide::Argument, std::allocator<Halide::Argument> >::_M_deallocate(Halide::Argument*, unsigned long)
  0.00      0.00     0.00        7     0.00     0.00  std::_Vector_base<Halide::Argument, std::allocator<Halide::Argument> >::_M_get_Tp_allocator()
  0.00      0.00     0.00        7     0.00     0.00  std::_Vector_base<Halide::Argument, std::allocator<Halide::Argument> >::~_Vector_base()
  0.00      0.00     0.00        7     0.00     0.00  void std::_Destroy<Halide::Buffer<void>*, Halide::Buffer<void> >(Halide::Buffer<void>*, Halide::Buffer<void>*, std::allocator<Halide::Buffer<void> >&)
  0.00      0.00     0.00        7     0.00     0.00  void std::_Destroy<Halide::Argument*, Halide::Argument>(Halide::Argument*, Halide::Argument*, std::allocator<Halide::Argument>&)
  0.00      0.00     0.00        6     0.00     0.00  Halide::Int(int, int)
